Postalcode,Borough,Neighborhood,City,City1,City2,Latitude,Longitude,IsDuplicate,Total Venues,1st Most Common Label,2nd Most Common Label,3rd Most Common Label,4th Most Common Label,5th Most Common Label,6th Most Common Label,7th Most Common Label,8th Most Common Label,9th Most Common Label,10th Most Common Label
G1E,Beauport South,Beauport South,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.86116888600003,-71.19272504199995,False,17.0,Dining and Lunching,Food and Beverage Retail,Retail,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event
G2E,L'Ancienne-Lorette,L'Ancienne-Lorette,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.80730672200008,-71.35744980999993,False,10.0,Dining and Lunching,Retail,Travel and Transportation,Arts and Entertainment,Food and Beverage Retail,Bar,Business and Professional Services,Community and Government,Education,Event
G3E,Saint-Émile,Saint-Émile,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.87734345600006,-71.33409803299998,False,6.0,Dining and Lunching,Food and Beverage Retail,Retail,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event
G6E,Sainte-Marie,Sainte-Marie,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.43834000000004,-71.02132599999999,False,8.0,Retail,Arts and Entertainment,Bar,Dining and Lunching,Business and Professional Services,Community and Government,Education,Event,Financial Service,Food and Beverage Retail
G8E,Alma,Alma North,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.81228000000005,-71.21453999999994,True,100.0,Dining and Lunching,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Bar,Retail,Community and Government,Business and Professional Services,Education,Event
G1G,Charlesbourg  Orsainville,Charlesbourg  Orsainville,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.87777977800005,-71.28417983099996,False,15.0,Dining and Lunching,Retail,Travel and Transportation,Bar,Food and Beverage Retail,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Event
G3G,Lac-Saint-Charles,Lac-Saint-Charles,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.92269453100005,-71.39083056299995,False,1.0,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Dining and Lunching,Education,Event,Financial Service,Food and Beverage Retail
G6G,Thetford Mines,Saint-Jean-de-Brébeuf,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.08902800000004,-71.30198699999994,True,4.0,Dining and Lunching,Bar,Food and Beverage Retail,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Event,Financial Service,Health and Medicine
G7G,Saguenay,North Chicoutimi,Quebec City,"Quebec City, Quebec","Quebec City, QC",48.37224865500008,-71.13058857099998,True,1.0,Retail,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Dining and Lunching,Education,Event,Financial Service,Food and Beverage Retail
G8G,Métabetchouan–Lac-à-la-Croix,Métabetchouan–Lac-à-la-Croix,Quebec City,"Quebec City, Quebec","Quebec City, QC",48.42970794100006,-71.85662215399998,False,6.0,Dining and Lunching,Landmarks and Outdoors,Retail,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event
G1H,South Charlesbourg,South Charlesbourg,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.85305238700005,-71.25718162399994,False,9.0,Dining and Lunching,Bar,Retail,Travel and Transportation,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Event,Financial Service
G5H,Mont-Joli,Saint-Joseph-de-Lepage,Quebec City,"Quebec City, Quebec","Quebec City, QC",48.58546800000005,-68.18962899999997,False,6.0,Dining and Lunching,Food and Beverage Retail,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event,Financial Service
G6H,Thetford Mines,Irlande,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.08902800000004,-71.30198699999994,True,4.0,Dining and Lunching,Bar,Food and Beverage Retail,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Event,Financial Service,Health and Medicine
G7H,Saguenay,East Chicoutimi,Quebec City,"Quebec City, Quebec","Quebec City, QC",48.37224865500008,-71.13058857099998,True,1.0,Retail,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Dining and Lunching,Education,Event,Financial Service,Food and Beverage Retail
G8H,Roberval,Roberval,Quebec City,"Quebec City, Quebec","Quebec City, QC",48.52118000000007,-72.26780999999994,False,4.0,Travel and Transportation,Dining and Lunching,Landmarks and Outdoors,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event,Financial Service
G9H,Bécancour,Bécancour,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.34106000000003,-72.43223999999998,False,4.0,Dining and Lunching,Retail,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event,Financial Service
G1J,Lower Riverbank,Lower Riverbank,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.83581260700004,-71.21804772799999,False,13.0,Dining and Lunching,Retail,Arts and Entertainment,Bar,Food and Beverage Retail,Landmarks and Outdoors,Travel and Transportation,Business and Professional Services,Community and Government,Education
G2J,Inner North,Inner North,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.84129508000007,-71.27916876199998,False,40.0,Dining and Lunching,Retail,Travel and Transportation,Food and Beverage Retail,Arts and Entertainment,Bar,Office,Business and Professional Services,Community and Government,Education
G5J,Amqui,Amqui,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.81228000000005,-71.21453999999994,True,100.0,Dining and Lunching,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Bar,Retail,Community and Government,Business and Professional Services,Education,Event
G6J,Lévis,Lévis North,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.81228000000005,-71.21453999999994,True,700.0,Dining and Lunching,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Bar,Retail,Community and Government,Business and Professional Services,Education,Event
G7J,Saguenay,Chicoutimi West,Quebec City,"Quebec City, Quebec","Quebec City, QC",48.37224865500008,-71.13058857099998,True,1.0,Retail,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Dining and Lunching,Education,Event,Financial Service,Food and Beverage Retail
G8J,Saint-Prime,La Doré,Quebec City,"Quebec City, Quebec","Quebec City, QC",48.59242000000006,-72.33554999999996,False,4.0,Arts and Entertainment,Dining and Lunching,Food and Beverage Retail,Retail,Bar,Business and Professional Services,Community and Government,Education,Event,Financial Service
G1K,Notre-Dame-des-Anges,Notre-Dame-des-Anges,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.79721475400004,-71.22124997499998,False,54.0,Dining and Lunching,Bar,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Food and Beverage Retail,Retail,Business and Professional Services,Community and Government,Education
G2K,Outer North,Outer North,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.84810430600004,-71.30267785199999,False,5.0,Bar,Dining and Lunching,Landmarks and Outdoors,Retail,Travel and Transportation,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Event
G3K,South Val-Bélair,South Val-Bélair,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.83028513600004,-71.44534944599997,False,1.0,Retail,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Dining and Lunching,Education,Event,Financial Service,Food and Beverage Retail
G6K,Lévis,Lévis North,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.81228000000005,-71.21453999999994,True,700.0,Dining and Lunching,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Bar,Retail,Community and Government,Business and Professional Services,Education,Event
G7K,Saguenay,Southwest Chicoutimi,Quebec City,"Quebec City, Quebec","Quebec City, QC",48.37224865500008,-71.13058857099998,True,1.0,Retail,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Dining and Lunching,Education,Event,Financial Service,Food and Beverage Retail
