Postalcode,Borough,Neighborhood,City,City1,City2,Latitude,Longitude,IsDuplicate,Total Venues,1st Most Common Label,2nd Most Common Label,3rd Most Common Label,4th Most Common Label,5th Most Common Label,6th Most Common Label,7th Most Common Label,8th Most Common Label,9th Most Common Label,10th Most Common Label
H1G,Montréal-Nord,Montréal-Nord North,Montreal,"Montreal, Quebec","Montreal, QC",45.61230339100007,-73.62097666199998,False,23.0,Dining and Lunching,Retail,Food and Beverage Retail,Travel and Transportation,Business and Professional Services,Arts and Entertainment,Bar,Community and Government,Education,Event
H2G,Petite-Patrie,Petite-Patrie North,Montreal,"Montreal, Quebec","Montreal, QC",45.54363677200007,-73.59309451399997,False,94.0,Dining and Lunching,Food and Beverage Retail,Retail,Bar,Arts and Entertainment,Landmarks and Outdoors,Travel and Transportation,Business and Professional Services,Community and Government,Education
H3G,Downtown & co,"Downtown, Concordia University",Montreal,"Montreal, Quebec","Montreal, QC",45.499386798000046,-73.58025911599998,False,100.0,Dining and Lunching,Retail,Bar,Arts and Entertainment,Landmarks and Outdoors,Travel and Transportation,Business and Professional Services,Community and Government,Education,Food and Beverage Retail
H4G,Verdun,Verdun North,Montreal,"Montreal, Quebec","Montreal, QC",45.46455251900005,-73.56946259899996,False,75.0,Dining and Lunching,Food and Beverage Retail,Retail,Bar,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Business and Professional Services,Community and Government,Education
H7G,Laval,Pont-Viau,Montreal,"Montreal, Quebec","Montreal, QC",45.57867424900007,-73.68650336499996,False,16.0,Dining and Lunching,Retail,Food and Beverage Retail,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event,Financial Service
H9G,Dollard-des-Ormeaux,Dollard-des-Ormeaux Southwest,Montreal,"Montreal, Quebec","Montreal, QC",45.47553841600006,-73.83697711199994,False,39.0,Dining and Lunching,Retail,Food and Beverage Retail,Landmarks and Outdoors,Travel and Transportation,Business and Professional Services,Arts and Entertainment,Bar,Community and Government,Education
H0H,Santa Claus,Reserved0H0:Santa Claus,Montreal,"Montreal, Quebec","Montreal, QC",45.50886700000007,-73.55424199999999,False,100.0,Dining and Lunching,Landmarks and Outdoors,Arts and Entertainment,Bar,Travel and Transportation,Retail,Business and Professional Services,Community and Government,Office,Education
H1H,Montréal-Nord,Montréal-Nord South,Montreal,"Montreal, Quebec","Montreal, QC",45.59000591700004,-73.63911966299997,False,19.0,Dining and Lunching,Retail,Food and Beverage Retail,Travel and Transportation,Landmarks and Outdoors,Office,Arts and Entertainment,Bar,Business and Professional Services,Community and Government
H2H,Plateau Mont-Royal,Plateau Mont-Royal North,Montreal,"Montreal, Quebec","Montreal, QC",45.53715164300007,-73.57313611199999,False,100.0,Dining and Lunching,Retail,Food and Beverage Retail,Bar,Landmarks and Outdoors,Arts and Entertainment,Travel and Transportation,Business and Professional Services,Community and Government,Education
H3H,Downtown,Downtown Center,Montreal,"Montreal, Quebec","Montreal, QC",45.49270861300005,-73.58238565999994,False,100.0,Dining and Lunching,Retail,Arts and Entertainment,Bar,Travel and Transportation,Food and Beverage Retail,Business and Professional Services,Landmarks and Outdoors,Community and Government,Education
H4H,Verdun,Verdun South,Montreal,"Montreal, Quebec","Montreal, QC",45.44564135300004,-73.58092066899997,False,12.0,Landmarks and Outdoors,Dining and Lunching,Retail,Arts and Entertainment,Food and Beverage Retail,Travel and Transportation,Bar,Business and Professional Services,Community and Government,Education
H7H,Laval,West Auteuil,Montreal,"Montreal, Quebec","Montreal, QC",45.52098601382271,-73.70553651531485,True,37.0,Dining and Lunching,Food and Beverage Retail,Retail,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event
H9H,Pierrefonds & co,"Pierrefonds, Sainte-Geneviève",Montreal,"Montreal, Quebec","Montreal, QC",45.46043452400005,-73.85574018599993,False,26.0,Dining and Lunching,Retail,Food and Beverage Retail,Travel and Transportation,Business and Professional Services,Arts and Entertainment,Bar,Community and Government,Education,Event
H1J,Anjou,Anjou North,Montreal,"Montreal, Quebec","Montreal, QC",45.61595906000008,-73.57336117599993,False,8.0,Dining and Lunching,Retail,Travel and Transportation,Food and Beverage Retail,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event
H2J,Plateau Mont-Royal,Plateau Mont-Royal Center 1,Montreal,"Montreal, Quebec","Montreal, QC",45.52982136800006,-73.58290003599996,False,100.0,Dining and Lunching,Retail,Food and Beverage Retail,Bar,Arts and Entertainment,Landmarks and Outdoors,Business and Professional Services,Sports and Recreation,Community and Government,Education
H3J,Petite-Bourgogne,Petite-Bourgogne,Montreal,"Montreal, Quebec","Montreal, QC",45.48630936700005,-73.57269771199998,False,64.0,Dining and Lunching,Food and Beverage Retail,Bar,Arts and Entertainment,Retail,Business and Professional Services,Landmarks and Outdoors,Travel and Transportation,Community and Government,Education
H4J,Cartierville,Cartierville Center,Montreal,"Montreal, Quebec","Montreal, QC",45.53137035100008,-73.70905649099996,False,20.0,Dining and Lunching,Food and Beverage Retail,Retail,Bar,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Business and Professional Services,Community and Government,Education
H7J,Laval,Northeast Auteuil,Montreal,"Montreal, Quebec","Montreal, QC",45.52098601382271,-73.70553651531485,True,37.0,Dining and Lunching,Food and Beverage Retail,Retail,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event
H9J,Kirkland,Kirkland East,Montreal,"Montreal, Quebec","Montreal, QC",45.44958434800003,-73.86616292299993,False,28.0,Dining and Lunching,Travel and Transportation,Retail,Business and Professional Services,Food and Beverage Retail,Landmarks and Outdoors,Office,Arts and Entertainment,Bar,Community and Government
H1K,Anjou,Anjou South,Montreal,"Montreal, Quebec","Montreal, QC",45.60893648900003,-73.54535963399996,False,14.0,Dining and Lunching,Retail,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Food and Beverage Retail,Bar,Business and Professional Services,Community and Government,Education
H2K,Centre-Sud & co,"Centre-Sud, Sainte-Marie",Montreal,"Montreal, Quebec","Montreal, QC",45.530641048000064,-73.55409481299995,False,54.0,Dining and Lunching,Retail,Food and Beverage Retail,Landmarks and Outdoors,Arts and Entertainment,Travel and Transportation,Bar,Business and Professional Services,Community and Government,Education
H3K,Pointe-Saint-Charles,Pointe-Saint-Charles,Montreal,"Montreal, Quebec","Montreal, QC",45.48115337600007,-73.55818648199994,False,42.0,Dining and Lunching,Bar,Retail,Business and Professional Services,Travel and Transportation,Food and Beverage Retail,Landmarks and Outdoors,Arts and Entertainment,Community and Government,Education
H4K,Cartierville,Cartierville South,Montreal,"Montreal, Quebec","Montreal, QC",45.51904753700006,-73.73523850499998,False,5.0,Business and Professional Services,Landmarks and Outdoors,Dining and Lunching,Arts and Entertainment,Bar,Community and Government,Education,Event,Financial Service,Food and Beverage Retail
H7K,Laval,South Auteuil,Montreal,"Montreal, Quebec","Montreal, QC",45.52098601382271,-73.70553651531485,True,37.0,Dining and Lunching,Food and Beverage Retail,Retail,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event
H9K,Pierrefonds & co,"Pierrefonds, Kirkland",Montreal,"Montreal, Quebec","Montreal, QC",45.46170834700007,-73.93112294699995,False,3.0,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Dining and Lunching,Education,Event,Financial Service
H1L,Mercier,Mercier North,Montreal,"Montreal, Quebec","Montreal, QC",45.59976073100006,-73.51925168599996,False,16.0,Dining and Lunching,Food and Beverage Retail,Retail,Landmarks and Outdoors,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event
H2L,Centre-Sud & co,"Centre-Sud, Le Village",Montreal,"Montreal, Quebec","Montreal, QC",45.520175925000046,-73.56087844199999,False,100.0,Dining and Lunching,Bar,Arts and Entertainment,Food and Beverage Retail,Landmarks and Outdoors,Retail,Travel and Transportation,Business and Professional Services,Education,Community and Government
H3L,Ahuntsic,Ahuntsic West,Montreal,"Montreal, Quebec","Montreal, QC",45.54653326900007,-73.67219055899994,False,21.0,Dining and Lunching,Food and Beverage Retail,Retail,Travel and Transportation,Bar,Landmarks and Outdoors,Arts and Entertainment,Business and Professional Services,Community and Government,Education
H4L,Saint-Laurent,Saint-Laurent Center 1,Montreal,"Montreal, Quebec","Montreal, QC",45.51836974300005,-73.68392863199995,False,46.0,Dining and Lunching,Retail,Food and Beverage Retail,Bar,Travel and Transportation,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Event
H7L,Laval,Sainte-Rose,Montreal,"Montreal, Quebec","Montreal, QC",45.60131339200007,-73.76940871499994,False,1.0,Landmarks and Outdoors,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Dining and Lunching,Education,Event,Financial Service,Food and Beverage Retail
H0M,Akwesasne,Region1A0 & 0A1:Akwesasne,Montreal,"Montreal, Quebec","Montreal, QC",45.65832800000004,-73.51384399999995,False,23.0,Dining and Lunching,Retail,Food and Beverage Retail,Travel and Transportation,Arts and Entertainment,Business and Professional Services,Bar,Community and Government,Education,Event
H1M,Mercier,Mercier West,Montreal,"Montreal, Quebec","Montreal, QC",45.589039410000055,-73.55648373899999,False,14.0,Dining and Lunching,Food and Beverage Retail,Landmarks and Outdoors,Retail,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education
H2M,Ahuntsic,Ahuntsic East,Montreal,"Montreal, Quebec","Montreal, QC",45.55453243200003,-73.63907784199995,False,14.0,Dining and Lunching,Food and Beverage Retail,Arts and Entertainment,Bar,Landmarks and Outdoors,Travel and Transportation,Business and Professional Services,Community and Government,Education,Event
H3M,Cartierville,Cartierville North,Montreal,"Montreal, Quebec","Montreal, QC",45.53816138800005,-73.69317525599996,False,16.0,Landmarks and Outdoors,Retail,Dining and Lunching,Food and Beverage Retail,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education
H4M,Saint-Laurent,Saint-Laurent Center 2,Montreal,"Montreal, Quebec","Montreal, QC",45.50032867400006,-73.68764080899996,False,12.0,Retail,Dining and Lunching,Travel and Transportation,Food and Beverage Retail,Landmarks and Outdoors,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education
H7M,Laval,Vimont,Montreal,"Montreal, Quebec","Montreal, QC",45.59877828800006,-73.71636812699995,False,11.0,Dining and Lunching,Travel and Transportation,Food and Beverage Retail,Retail,Sports and Recreation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education
H1N,Mercier,Mercier South,Montreal,"Montreal, Quebec","Montreal, QC",45.57680008100005,-73.53051191599997,False,8.0,Dining and Lunching,Landmarks and Outdoors,Retail,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event,Financial Service
H2N,Ahuntsic,Ahuntsic South,Montreal,"Montreal, Quebec","Montreal, QC",45.54090378500007,-73.65116565299996,False,60.0,Dining and Lunching,Retail,Food and Beverage Retail,Travel and Transportation,Arts and Entertainment,Office,Bar,Business and Professional Services,Community and Government,Education
H3N,Parc-Extension,Parc-Extension,Montreal,"Montreal, Quebec","Montreal, QC",45.52941702200008,-73.63164598699996,False,35.0,Dining and Lunching,Retail,Travel and Transportation,Arts and Entertainment,Food and Beverage Retail,Landmarks and Outdoors,Bar,Business and Professional Services,Community and Government,Education
H4N,Saint-Laurent,Saint-Laurent North,Montreal,"Montreal, Quebec","Montreal, QC",45.52556651700007,-73.66496409399997,False,17.0,Dining and Lunching,Retail,Food and Beverage Retail,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event
H7N,Laval,Laval-des-Rapides,Montreal,"Montreal, Quebec","Montreal, QC",45.56054541200007,-73.70564408099995,False,16.0,Retail,Dining and Lunching,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Food and Beverage Retail,Bar,Business and Professional Services,Community and Government,Education
H8N,LaSalle,LaSalle North,Montreal,"Montreal, Quebec","Montreal, QC",45.43983932700007,-73.62172867199996,False,45.0,Dining and Lunching,Retail,Food and Beverage Retail,Travel and Transportation,Bar,Landmarks and Outdoors,Office,Arts and Entertainment,Business and Professional Services,Community and Government
H1P,Saint-Léonard,Saint-Léonard North,Montreal,"Montreal, Quebec","Montreal, QC",45.59828459700003,-73.59440641099997,False,8.0,Dining and Lunching,Retail,Bar,Food and Beverage Retail,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Event,Financial Service
H2P,Villeray,Villeray West,Montreal,"Montreal, Quebec","Montreal, QC",45.54215812700005,-73.63480947199997,False,72.0,Dining and Lunching,Retail,Food and Beverage Retail,Bar,Travel and Transportation,Landmarks and Outdoors,Arts and Entertainment,Business and Professional Services,Community and Government,Education
H3P,Mount Royal,Mount Royal North,Montreal,"Montreal, Quebec","Montreal, QC",45.521838984000055,-73.63896601199997,False,36.0,Dining and Lunching,Retail,Food and Beverage Retail,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education
H4P,Mount Royal,Mount Royal South,Montreal,"Montreal, Quebec","Montreal, QC",45.49538030000008,-73.66204946599998,False,39.0,Dining and Lunching,Retail,Travel and Transportation,Arts and Entertainment,Bar,Food and Beverage Retail,Business and Professional Services,Community and Government,Education,Event
H7P,Laval,Fabreville,Montreal,"Montreal, Quebec","Montreal, QC",45.57739623400005,-73.80037636099996,False,15.0,Dining and Lunching,Retail,Travel and Transportation,Food and Beverage Retail,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event
H8P,LaSalle,LaSalle South,Montreal,"Montreal, Quebec","Montreal, QC",45.42494413400004,-73.60743661699996,False,14.0,Food and Beverage Retail,Dining and Lunching,Retail,Landmarks and Outdoors,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event
H9P,Dorval,Outskirts South,Montreal,"Montreal, Quebec","Montreal, QC",45.47077647200007,-73.77583330399995,False,4.0,Travel and Transportation,Business and Professional Services,Retail,Arts and Entertainment,Bar,Community and Government,Dining and Lunching,Education,Event,Financial Service
H1R,Saint-Léonard,Saint-Léonard West,Montreal,"Montreal, Quebec","Montreal, QC",45.58631578400008,-73.60812039499996,False,7.0,Retail,Arts and Entertainment,Dining and Lunching,Travel and Transportation,Bar,Business and Professional Services,Community and Government,Education,Event,Financial Service
H2R,Villeray,Villeray South,Montreal,"Montreal, Quebec","Montreal, QC",45.53983477300005,-73.62239358799997,False,100.0,Dining and Lunching,Food and Beverage Retail,Bar,Retail,Arts and Entertainment,Landmarks and Outdoors,Office,Business and Professional Services,Community and Government,Education
H3R,Mount Royal,Mount Royal Central,Montreal,"Montreal, Quebec","Montreal, QC",45.51061649300004,-73.64803998199994,False,26.0,Dining and Lunching,Retail,Arts and Entertainment,Food and Beverage Retail,Landmarks and Outdoors,Travel and Transportation,Bar,Business and Professional Services,Community and Government,Education
H4R,Saint-Laurent,Saint-Laurent Center 3,Montreal,"Montreal, Quebec","Montreal, QC",45.50595590400008,-73.71500949699998,False,11.0,Retail,Dining and Lunching,Food and Beverage Retail,Landmarks and Outdoors,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event
H7R,Laval,Laval-sur-le-Lac,Montreal,"Montreal, Quebec","Montreal, QC",45.52098601382271,-73.70553651531485,True,37.0,Dining and Lunching,Food and Beverage Retail,Retail,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event
H8R,LaSalle & co,"LaSalle, Ville Saint-Pierre",Montreal,"Montreal, Quebec","Montreal, QC",45.42867703900004,-73.64684077499999,False,11.0,Dining and Lunching,Travel and Transportation,Food and Beverage Retail,Landmarks and Outdoors,Retail,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education
H9R,Pointe-Claire,North Central South,Montreal,"Montreal, Quebec","Montreal, QC",45.46000579100007,-73.81187171299996,False,18.0,Retail,Dining and Lunching,Travel and Transportation,Bar,Food and Beverage Retail,Landmarks and Outdoors,Arts and Entertainment,Business and Professional Services,Community and Government,Education
H1S,Saint-Léonard,Saint-Léonard South,Montreal,"Montreal, Quebec","Montreal, QC",45.58160283700005,-73.58183580599996,False,28.0,Dining and Lunching,Travel and Transportation,Retail,Food and Beverage Retail,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event
H2S,Petite-Patrie,Petite-Patrie South,Montreal,"Montreal, Quebec","Montreal, QC",45.53480009200007,-73.60581432799995,False,100.0,Dining and Lunching,Food and Beverage Retail,Bar,Retail,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Event,Financial Service
H3S,Côte-des-Neiges,Côte-des-Neiges North,Montreal,"Montreal, Quebec","Montreal, QC",45.50593383600005,-73.63024982799993,False,47.0,Dining and Lunching,Retail,Food and Beverage Retail,Travel and Transportation,Arts and Entertainment,Bar,Landmarks and Outdoors,Sports and Recreation,Business and Professional Services,Community and Government
H4S,Saint-Laurent,Saint-Laurent West,Montreal,"Montreal, Quebec","Montreal, QC",45.48527315900003,-73.74554089599997,False,7.0,Business and Professional Services,Food and Beverage Retail,Office,Retail,Arts and Entertainment,Bar,Community and Government,Dining and Lunching,Education,Event
H7S,Laval,Northeast Chomedey,Montreal,"Montreal, Quebec","Montreal, QC",45.57155277545262,-73.72931293757934,False,50.0,Dining and Lunching,Retail,Food and Beverage Retail,Travel and Transportation,Bar,Business and Professional Services,Landmarks and Outdoors,Arts and Entertainment,Community and Government,Education
H8S,Lachine,Lachine South,Montreal,"Montreal, Quebec","Montreal, QC",45.44060703700006,-73.67347004799996,False,15.0,Dining and Lunching,Food and Beverage Retail,Retail,Arts and Entertainment,Business and Professional Services,Travel and Transportation,Bar,Community and Government,Education,Event
H9S,Pointe-Claire,"Dorval, L'Île-Dorval",Montreal,"Montreal, Quebec","Montreal, QC",45.44249702300005,-73.74839426599993,False,36.0,Dining and Lunching,Retail,Travel and Transportation,Landmarks and Outdoors,Food and Beverage Retail,Bar,Arts and Entertainment,Business and Professional Services,Community and Government,Education
H1T,Rosemont,Rosemont North,Montreal,"Montreal, Quebec","Montreal, QC",45.57623816300003,-73.56983111499994,False,12.0,Dining and Lunching,Retail,Food and Beverage Retail,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education
H2T,Plateau Mont-Royal,Plateau Mont-Royal West,Montreal,"Montreal, Quebec","Montreal, QC",45.52438057900008,-73.59509989099996,False,100.0,Dining and Lunching,Retail,Bar,Food and Beverage Retail,Business and Professional Services,Arts and Entertainment,Landmarks and Outdoors,Community and Government,Education,Event
H3T,Côte-des-Neiges & co,"Côte-des-Neiges, Université de Montréal",Montreal,"Montreal, Quebec","Montreal, QC",45.50303497900006,-73.61837095699997,False,72.0,Dining and Lunching,Retail,Food and Beverage Retail,Bar,Travel and Transportation,Landmarks and Outdoors,Arts and Entertainment,Sports and Recreation,Business and Professional Services,Community and Government
H4T,Saint-Laurent,Saint-Laurent South,Montreal,"Montreal, Quebec","Montreal, QC",45.48159960800007,-73.69464962899997,False,13.0,Dining and Lunching,Travel and Transportation,Arts and Entertainment,Business and Professional Services,Bar,Community and Government,Education,Event,Financial Service,Food and Beverage Retail
H7T,Laval,Northwest Chomedey,Montreal,"Montreal, Quebec","Montreal, QC",45.55703972900005,-73.77122234699993,False,16.0,Dining and Lunching,Retail,Food and Beverage Retail,Travel and Transportation,Arts and Entertainment,Landmarks and Outdoors,Bar,Business and Professional Services,Community and Government,Education
H8T,Lachine,Lachine North,Montreal,"Montreal, Quebec","Montreal, QC",45.45202468600007,-73.70769984399993,False,10.0,Retail,Travel and Transportation,Business and Professional Services,Office,Arts and Entertainment,Bar,Community and Government,Dining and Lunching,Education,Event
H1V,Maisonneuve,Maisonneuve,Montreal,"Montreal, Quebec","Montreal, QC",45.55694237800003,-73.53961133199994,False,54.0,Dining and Lunching,Retail,Arts and Entertainment,Food and Beverage Retail,Landmarks and Outdoors,Bar,Travel and Transportation,Sports and Recreation,Business and Professional Services,Community and Government
H2V,Outremont,Outremont,Montreal,"Montreal, Quebec","Montreal, QC",45.51230187200008,-73.60322524499998,False,48.0,Dining and Lunching,Landmarks and Outdoors,Food and Beverage Retail,Retail,Arts and Entertainment,Bar,Community and Government,Business and Professional Services,Education,Event
H3V,Côte-des-Neiges,Côte-des-Neiges East,Montreal,"Montreal, Quebec","Montreal, QC",45.49603490000004,-73.61211260699997,False,47.0,Dining and Lunching,Food and Beverage Retail,Retail,Travel and Transportation,Landmarks and Outdoors,Bar,Arts and Entertainment,Education,Business and Professional Services,Community and Government
H4V,Côte Saint-Luc,Côte Saint-Luc East,Montreal,"Montreal, Quebec","Montreal, QC",45.46723276400007,-73.64860464599997,False,22.0,Dining and Lunching,Retail,Food and Beverage Retail,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education
H7V,Laval,East Chomedey,Montreal,"Montreal, Quebec","Montreal, QC",45.54608155300008,-73.73691031599998,False,11.0,Dining and Lunching,Food and Beverage Retail,Retail,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event,Financial Service
H1W,Hochelaga,Hochelaga,Montreal,"Montreal, Quebec","Montreal, QC",45.543895690000056,-73.54659521899998,False,53.0,Dining and Lunching,Retail,Food and Beverage Retail,Bar,Landmarks and Outdoors,Arts and Entertainment,Travel and Transportation,Business and Professional Services,Community and Government,Education
H2W,Plateau Mont-Royal,Plateau Mont-Royal Center 2,Montreal,"Montreal, Quebec","Montreal, QC",45.51633292400004,-73.58152211899994,False,100.0,Dining and Lunching,Bar,Retail,Arts and Entertainment,Business and Professional Services,Food and Beverage Retail,Landmarks and Outdoors,Community and Government,Sports and Recreation,Travel and Transportation
H3W,Côte-des-Neiges,Côte-des-Neiges South,Montreal,"Montreal, Quebec","Montreal, QC",45.48989138900004,-73.63204346599997,False,72.0,Dining and Lunching,Retail,Travel and Transportation,Food and Beverage Retail,Landmarks and Outdoors,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education
H4W,Côte Saint-Luc,Côte Saint-Luc West,Montreal,"Montreal, Quebec","Montreal, QC",45.46564442700003,-73.67485042699997,False,4.0,Dining and Lunching,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event,Financial Service
H7W,Laval,South Chomedey,Montreal,"Montreal, Quebec","Montreal, QC",45.53365967400004,-73.76565796299997,False,11.0,Dining and Lunching,Retail,Food and Beverage Retail,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event
H9W,Beaconsfield,Beaconsfield,Montreal,"Montreal, Quebec","Montreal, QC",45.43083949300007,-73.86849214199998,False,4.0,Dining and Lunching,Arts and Entertainment,Landmarks and Outdoors,Bar,Business and Professional Services,Community and Government,Education,Event,Financial Service,Food and Beverage Retail
H1X,Rosemont,Rosemont East,Montreal,"Montreal, Quebec","Montreal, QC",45.55869688900003,-73.56395672299993,False,31.0,Landmarks and Outdoors,Dining and Lunching,Retail,Arts and Entertainment,Food and Beverage Retail,Travel and Transportation,Bar,Business and Professional Services,Community and Government,Education
H2X,Plateau Mont-Royal,Plateau Mont-Royal South,Montreal,"Montreal, Quebec","Montreal, QC",45.51169174600005,-73.56796579799999,False,100.0,Dining and Lunching,Arts and Entertainment,Bar,Travel and Transportation,Landmarks and Outdoors,Retail,Office,Business and Professional Services,Community and Government,Education
H3X,Hampstead,"Montreal, Snowdon, Notre-Dame-de-Grâce",Montreal,"Montreal, Quebec","Montreal, QC",45.481864391000045,-73.64337971199996,False,27.0,Dining and Lunching,Travel and Transportation,Landmarks and Outdoors,Arts and Entertainment,Business and Professional Services,Bar,Community and Government,Education,Event,Financial Service
H4X,Côte Saint-Luc,Montreal West,Montreal,"Montreal, Quebec","Montreal, QC",45.45546442600005,-73.65926703799994,False,6.0,Business and Professional Services,Dining and Lunching,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Bar,Community and Government,Education,Event,Financial Service
H7X,Laval,Sainte-Dorothée,Montreal,"Montreal, Quebec","Montreal, QC",45.53228358100006,-73.81011114199998,False,7.0,Dining and Lunching,Arts and Entertainment,Food and Beverage Retail,Landmarks and Outdoors,Retail,Bar,Business and Professional Services,Community and Government,Education,Event
H9X,Sainte-Anne-de-Bellevue,"Baie-D'Urfé, Senneville",Montreal,"Montreal, Quebec","Montreal, QC",45.42664685200003,-73.93484372699999,False,4.0,Retail,Arts and Entertainment,Landmarks and Outdoors,Bar,Business and Professional Services,Community and Government,Dining and Lunching,Education,Event,Financial Service
H1Y,Rosemont,Rosemont South,Montreal,"Montreal, Quebec","Montreal, QC",45.54858438900004,-73.57859665599995,False,66.0,Dining and Lunching,Retail,Food and Beverage Retail,Landmarks and Outdoors,Bar,Travel and Transportation,Business and Professional Services,Arts and Entertainment,Community and Government,Education
H2Y,Old Montreal,Old Montreal,Montreal,"Montreal, Quebec","Montreal, QC",45.50586838700008,-73.55363951299995,False,100.0,Dining and Lunching,Bar,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Retail,Business and Professional Services,Community and Government,Education,Event
H3Y,Westmount,Westmount North,Montreal,"Montreal, Quebec","Montreal, QC",45.48771742100007,-73.60471264199998,False,13.0,Landmarks and Outdoors,Travel and Transportation,Food and Beverage Retail,Dining and Lunching,Sports and Recreation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education
H4Y,Dorval,YUL,Montreal,"Montreal, Quebec","Montreal, QC",45.456955074000064,-73.75575525799997,False,46.0,Dining and Lunching,Travel and Transportation,Retail,Bar,Business and Professional Services,Food and Beverage Retail,Arts and Entertainment,Community and Government,Education,Event
H7Y,Laval,Îles-Laval,Montreal,"Montreal, Quebec","Montreal, QC",45.52763251100004,-73.85004273399994,False,4.0,Dining and Lunching,Landmarks and Outdoors,Retail,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event
H8Y,Roxboro,Roxboro,Montreal,"Montreal, Quebec","Montreal, QC",45.506715892000045,-73.80851554599997,False,24.0,Dining and Lunching,Food and Beverage Retail,Retail,Arts and Entertainment,Travel and Transportation,Bar,Business and Professional Services,Community and Government,Education,Event
H1Z,Saint-Michel,Saint-Michel North,Montreal,"Montreal, Quebec","Montreal, QC",45.57020042300008,-73.62150416899993,False,6.0,Retail,Dining and Lunching,Landmarks and Outdoors,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event,Financial Service
H2Z,Old Montreal & co,"Old Montreal, Downtown",Montreal,"Montreal, Quebec","Montreal, QC",45.505165463000026,-73.56210801799995,False,96.0,Dining and Lunching,Arts and Entertainment,Landmarks and Outdoors,Travel and Transportation,Bar,Retail,Business and Professional Services,Community and Government,Office,Education
H3Z,Westmount,Westmount South,Montreal,"Montreal, Quebec","Montreal, QC",45.48275111800007,-73.59314904899998,False,78.0,Dining and Lunching,Retail,Food and Beverage Retail,Arts and Entertainment,Landmarks and Outdoors,Office,Business and Professional Services,Sports and Recreation,Travel and Transportation,Bar
H4Z,Tour de la Bourse,Tour de la Bourse,Montreal,"Montreal, Quebec","Montreal, QC",45.5008513,-73.5616283,False,100.0,Dining and Lunching,Arts and Entertainment,Landmarks and Outdoors,Travel and Transportation,Retail,Bar,Food and Beverage Retail,Business and Professional Services,Community and Government,Education
H8Z,Pierrefonds,Pierrefonds,Montreal,"Montreal, Quebec","Montreal, QC",45.50702382800006,-73.84093444999996,False,4.0,Dining and Lunching,Food and Beverage Retail,Retail,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event
K1A,Gatineau,Gatineau,Ottawa,"Ottawa, Ontario","Ottawa, ON",45.375255510000045,-75.69466373999995,False,28.0,Dining and Lunching,Landmarks and Outdoors,Arts and Entertainment,Bar,Travel and Transportation,Food and Beverage Retail,Business and Professional Services,Community and Government,Education,Event
